Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
06/01/2014 12:00:00 PM,202,232
02/27/2016 06:00:00 PM,54,58
04/05/2019 06:00:00 PM,334,120
11/06/2012 11:00:00 PM,32,10
05/04/2016 12:00:00 AM,28,12
11/22/2014 07:00:00 PM,28,40
08/11/2014 10:00:00 AM,118,160
11/11/2016 07:00:00 PM,106,80
03/29/2015 06:00:00 PM,90,134
09/03/2013 11:00:00 AM,78,70
06/13/2013 01:00:00 AM,2,8
06/14/2014 12:00:00 PM,150,122
11/05/2019 10:00:00 PM,46,28
06/02/2016 12:00:00 PM,88,76
03/25/2015 07:00:00 PM,168,82
10/21/2020 02:00:00 AM,0,0
05/07/2020 06:00:00 PM,157,140
06/04/2016 10:00:00 AM,134,180
11/03/2013 02:00:00 AM,0,2
08/07/2014 11:00:00 AM,88,60
08/16/2013 06:00:00 AM,104,170
08/29/2014 04:00:00 PM,404,206
09/05/2019 03:00:00 AM,12,2
08/17/2019 04:00:00 AM,8,4
11/08/2017 08:00:00 PM,120,36
03/18/2018 07:00:00 PM,32,42
04/13/2019 05:00:00 AM,8,2
01/19/2018 01:00:00 AM,6,2
11/05/2014 05:00:00 PM,558,250
06/10/2020 12:00:00 PM,87,79
05/24/2019 06:00:00 PM,366,144
08/21/2017 10:00:00 AM,144,204
04/03/2019 08:00:00 AM,542,438
05/25/2020 06:00:00 PM,29,23
05/27/2018 07:00:00 PM,144,102
04/02/2013 03:00:00 PM,136,116
12/09/2014 01:00:00 PM,0,70
06/27/2016 08:00:00 AM,396,782
03/17/2015 09:00:00 AM,204,0
01/23/2014 05:00:00 PM,516,226
05/12/2017 07:00:00 PM,164,100
10/05/2018 07:00:00 AM,236,230
10/01/2014 12:00:00 PM,2,140
03/13/2014 11:00:00 PM,24,18
12/05/2015 12:00:00 AM,24,14
03/05/2016 09:00:00 AM,102,116
08/02/2018 05:00:00 PM,1058,320
12/25/2019 02:00:00 PM,98,54
08/23/2017 08:00:00 PM,164,96
12/19/2020 08:00:00 AM,18,17
03/09/2014 02:00:00 PM,124,166
01/15/2013 03:00:00 PM,118,94
08/23/2015 06:00:00 AM,22,14
12/26/2018 12:00:00 AM,0,2
04/07/2017 03:00:00 PM,98,46
07/04/2015 09:00:00 PM,122,142
12/01/2018 12:00:00 PM,90,40
03/05/2013 05:00:00 PM,584,210
03/19/2019 05:00:00 AM,50,40
12/01/2017 01:00:00 AM,6,6
06/20/2020 08:00:00 AM,18,22
08/17/2016 08:00:00 PM,178,118
11/11/2013 07:00:00 AM,108,298
08/26/2018 07:00:00 AM,26,30
12/17/2014 08:00:00 PM,86,36
10/20/2016 11:00:00 PM,12,4
11/28/2012 05:00:00 AM,8,28
02/27/2018 03:00:00 PM,104,60
03/05/2020 07:00:00 PM,158,48
12/17/2020 08:00:00 AM,45,32
11/24/2013 12:00:00 PM,84,124
03/20/2017 04:00:00 PM,300,106
05/17/2013 07:00:00 PM,202,134
07/09/2014 04:00:00 AM,16,10
08/31/2013 03:00:00 AM,10,10
03/10/2018 01:00:00 PM,186,232
09/17/2019 04:00:00 AM,0,8
05/11/2013 12:00:00 PM,146,254
12/01/2018 11:00:00 AM,66,66
05/27/2017 04:00:00 AM,8,4
02/10/2014 12:00:00 AM,4,6
10/28/2020 06:00:00 PM,123,65
10/16/2017 11:00:00 PM,32,14
09/09/2014 05:00:00 PM,890,392
02/15/2014 02:00:00 AM,8,6
09/23/2014 10:00:00 AM,4,192
01/16/2019 04:00:00 PM,434,158
10/08/2017 06:00:00 AM,12,8
09/04/2017 10:00:00 AM,172,142
09/16/2019 04:00:00 PM,692,268
10/02/2014 09:00:00 AM,46,472
11/17/2019 09:00:00 PM,8,12
07/01/2020 07:00:00 PM,94,54
04/20/2014 04:00:00 PM,158,208
12/10/2018 10:00:00 AM,82,76
10/21/2019 05:00:00 AM,28,32
08/28/2015 07:00:00 AM,140,302
04/19/2013 05:00:00 PM,280,106
09/28/2016 03:00:00 AM,4,4
04/19/2013 07:00:00 PM,82,48
02/24/2019 12:00:00 AM,6,12
01/10/2018 07:00:00 PM,142,66
12/09/2017 09:00:00 AM,28,46
12/21/2018 10:00:00 PM,10,12
06/07/2015 05:00:00 PM,156,194
09/21/2016 08:00:00 PM,92,70
05/22/2013 10:00:00 AM,78,92
08/18/2018 08:00:00 PM,72,56
12/17/2018 12:00:00 AM,6,0
07/14/2013 08:00:00 AM,58,78
08/18/2018 12:00:00 AM,8,14
03/08/2016 07:00:00 PM,200,72
11/09/2013 05:00:00 PM,56,56
07/14/2015 02:00:00 PM,114,124
05/23/2013 08:00:00 AM,254,606
02/11/2018 09:00:00 PM,8,16
03/22/2018 12:00:00 AM,2,4
12/05/2020 07:00:00 PM,10,10
09/16/2020 10:00:00 AM,16,6
06/13/2016 08:00:00 PM,110,82
03/28/2017 01:00:00 AM,2,2
08/20/2019 08:00:00 AM,952,674
06/17/2019 08:00:00 AM,796,704
05/14/2014 10:00:00 AM,148,180
05/14/2019 03:00:00 PM,140,74
11/07/2016 01:00:00 PM,52,76
04/01/2015 12:00:00 PM,122,0
01/27/2021 01:00:00 PM,42,29
11/17/2015 12:00:00 PM,32,22
07/02/2015 01:00:00 AM,8,10
09/18/2015 08:00:00 AM,268,472
06/16/2013 11:00:00 AM,166,206
04/30/2017 09:00:00 PM,22,6
10/22/2014 12:00:00 PM,20,22
10/19/2014 12:00:00 AM,48,16
01/13/2020 03:00:00 AM,0,2
11/11/2016 09:00:00 AM,176,188
03/27/2015 12:00:00 AM,22,12
10/09/2018 09:00:00 AM,338,238
07/02/2017 07:00:00 AM,32,26
05/20/2020 02:00:00 AM,0,0
05/09/2013 11:00:00 PM,44,66
04/24/2020 01:00:00 PM,194,138
01/21/2020 05:00:00 PM,802,172
09/16/2019 04:00:00 AM,4,8
05/15/2016 10:00:00 PM,28,12
10/05/2020 07:00:00 AM,78,57
07/26/2013 11:00:00 PM,76,70
05/22/2015 01:00:00 PM,112,130
12/02/2019 09:00:00 AM,242,236
09/14/2014 02:00:00 PM,160,160
05/30/2013 01:00:00 AM,4,8
11/14/2015 07:00:00 AM,18,20
08/15/2013 08:00:00 AM,272,632
02/18/2018 07:00:00 AM,8,4
12/30/2012 07:00:00 PM,22,12
10/03/2018 04:00:00 PM,466,192
12/10/2018 05:00:00 PM,736,226
11/27/2018 06:00:00 PM,398,120
09/20/2015 11:00:00 AM,122,104
10/26/2013 09:00:00 AM,50,66
01/02/2014 12:00:00 AM,2,4
11/17/2020 04:00:00 PM,66,39
11/22/2014 01:00:00 PM,80,88
01/31/2016 03:00:00 AM,6,0
10/28/2017 06:00:00 AM,12,22
05/23/2017 01:00:00 AM,2,10
04/25/2016 07:00:00 AM,166,368
10/18/2019 12:00:00 AM,16,0
02/14/2021 12:00:00 AM,0,1
08/15/2013 09:00:00 PM,56,74
10/09/2012 11:00:00 PM,28,18
09/03/2014 01:00:00 AM,4,2
05/10/2016 11:00:00 PM,24,36
05/22/2019 09:00:00 AM,396,294
02/20/2013 01:00:00 AM,2,0
04/06/2020 07:00:00 AM,88,74
05/03/2013 05:00:00 PM,934,402
04/21/2014 09:00:00 PM,44,44
01/04/2013 03:00:00 PM,100,78
09/25/2019 02:00:00 PM,222,122
09/10/2016 01:00:00 PM,252,186
12/27/2013 03:00:00 AM,2,2
03/07/2015 05:00:00 PM,118,218
10/28/2016 01:00:00 PM,110,88
09/29/2014 07:00:00 AM,170,478
04/24/2016 04:00:00 PM,26,50
09/04/2013 12:00:00 PM,96,86
05/02/2017 09:00:00 AM,244,278
06/20/2014 03:00:00 AM,2,0
04/04/2013 12:00:00 PM,30,40
03/23/2013 09:00:00 PM,26,22
08/25/2020 05:00:00 AM,18,16
03/17/2014 11:00:00 PM,24,20
09/30/2013 10:00:00 AM,46,82
04/20/2013 07:00:00 PM,10,26
11/28/2018 02:00:00 AM,4,0
12/22/2016 04:00:00 PM,196,92
04/20/2016 04:00:00 AM,8,10
03/24/2014 07:00:00 AM,118,398
09/22/2018 01:00:00 AM,8,6
02/09/2021 08:00:00 AM,56,43
07/17/2016 10:00:00 AM,122,110
05/29/2014 03:00:00 AM,0,8
11/26/2012 09:00:00 AM,132,226
12/21/2014 04:00:00 AM,2,6
02/06/2016 12:00:00 AM,8,10
05/09/2018 02:00:00 AM,4,0
04/10/2015 03:00:00 AM,4,4
02/27/2013 08:00:00 AM,210,426
05/25/2018 05:00:00 AM,56,54
07/03/2015 04:00:00 AM,6,8
02/02/2015 06:00:00 AM,66,124
05/29/2014 06:00:00 PM,708,384
07/01/2017 12:00:00 AM,24,14
11/13/2020 09:00:00 PM,16,9
11/30/2014 11:00:00 PM,10,4
08/31/2014 07:00:00 AM,30,16
08/11/2014 04:00:00 AM,8,10
01/05/2020 08:00:00 AM,16,22
10/13/2013 10:00:00 PM,30,20
11/04/2012 05:00:00 PM,72,38
11/20/2015 03:00:00 PM,122,104
10/10/2017 10:00:00 AM,126,100
03/03/2016 08:00:00 AM,234,512
06/22/2020 01:00:00 PM,76,72
12/15/2020 06:00:00 AM,21,12
12/22/2014 02:00:00 AM,2,4
04/13/2020 12:00:00 AM,2,0
11/06/2016 05:00:00 AM,2,2
05/01/2018 12:00:00 AM,6,8
07/26/2016 03:00:00 PM,240,186
11/21/2016 03:00:00 PM,158,112
12/03/2020 09:00:00 PM,13,3
01/31/2013 07:00:00 PM,158,70
12/16/2013 11:00:00 PM,20,10
02/19/2019 07:00:00 AM,222,236
10/11/2017 10:00:00 AM,110,106
06/26/2018 05:00:00 PM,1254,360
08/01/2014 09:00:00 PM,100,74
02/14/2015 01:00:00 AM,22,2
08/30/2015 10:00:00 PM,14,22
02/01/2014 04:00:00 PM,92,128
12/20/2020 01:00:00 AM,2,0
03/22/2016 03:00:00 PM,118,86
04/25/2019 04:00:00 PM,464,186
02/17/2020 01:00:00 PM,152,114
03/02/2020 10:00:00 PM,32,10
06/25/2015 08:00:00 AM,388,816
09/23/2017 06:00:00 AM,18,20
07/13/2019 11:00:00 PM,56,28
07/14/2018 01:00:00 AM,16,6
04/14/2013 12:00:00 AM,8,6
09/11/2018 09:00:00 AM,290,268
03/20/2019 05:00:00 AM,46,46
03/18/2016 02:00:00 PM,134,96
04/18/2013 08:00:00 AM,158,386
02/06/2016 07:00:00 PM,28,30
03/23/2018 04:00:00 PM,258,64
04/07/2019 04:00:00 AM,12,2
04/24/2013 12:00:00 AM,8,6
11/04/2017 04:00:00 AM,2,4
02/23/2014 06:00:00 PM,10,10
03/26/2019 01:00:00 AM,6,2
08/20/2016 03:00:00 AM,14,6
02/07/2013 11:00:00 PM,20,14
03/18/2017 12:00:00 PM,16,16
07/11/2016 04:00:00 PM,476,238
07/17/2020 08:00:00 AM,84,46
03/07/2019 05:00:00 AM,22,14
10/02/2013 01:00:00 AM,12,4
11/15/2017 01:00:00 PM,44,38
01/31/2017 11:00:00 PM,18,12
01/22/2019 10:00:00 PM,24,2
01/01/2015 11:00:00 PM,6,0
11/21/2015 01:00:00 AM,2,8
02/27/2014 07:00:00 PM,184,104
07/27/2020 07:00:00 PM,114,86
02/18/2018 09:00:00 PM,8,6
10/31/2017 07:00:00 AM,364,444
12/27/2012 01:00:00 AM,4,0
02/14/2018 09:00:00 AM,182,186
07/23/2015 09:00:00 AM,240,334
07/14/2014 02:00:00 AM,0,2
10/13/2018 06:00:00 PM,110,120
05/21/2015 09:00:00 AM,212,406
03/31/2019 09:00:00 AM,96,100
09/14/2019 07:00:00 AM,62,54
09/17/2013 08:00:00 AM,288,642
08/25/2017 11:00:00 AM,108,106
08/22/2015 12:00:00 PM,138,158
02/14/2019 01:00:00 AM,4,0
04/10/2014 07:00:00 PM,300,206
09/28/2015 12:00:00 PM,54,98
05/23/2014 12:00:00 AM,14,6
10/05/2014 03:00:00 AM,0,0
05/27/2014 03:00:00 PM,168,180
07/20/2017 07:00:00 AM,388,486
10/07/2020 08:00:00 PM,37,20
06/14/2017 08:00:00 PM,174,148
03/01/2014 04:00:00 AM,0,2
03/04/2013 01:00:00 AM,2,2
02/12/2017 03:00:00 PM,174,150
04/21/2015 08:00:00 PM,80,28
05/10/2020 06:00:00 PM,105,73
04/04/2018 03:00:00 AM,4,2
10/25/2014 04:00:00 AM,0,6
04/27/2014 03:00:00 AM,0,0
11/21/2012 09:00:00 PM,24,18
08/28/2019 06:00:00 AM,238,152
06/13/2020 03:00:00 PM,84,54
12/26/2014 02:00:00 PM,116,94
05/28/2016 04:00:00 PM,96,104
09/18/2016 02:00:00 AM,2,10
01/15/2014 12:00:00 PM,90,86
06/13/2013 02:00:00 AM,10,10
04/09/2016 09:00:00 AM,112,146
06/29/2013 01:00:00 PM,174,242
03/01/2016 09:00:00 PM,16,18
09/02/2014 12:00:00 PM,70,94
10/11/2012 10:00:00 AM,0,8
07/07/2013 10:00:00 PM,40,44
01/04/2016 02:00:00 AM,0,0
03/05/2020 08:00:00 PM,64,14
02/27/2018 02:00:00 PM,60,40
01/21/2016 02:00:00 AM,0,0
03/24/2018 08:00:00 PM,20,26
03/07/2014 03:00:00 PM,156,138
01/09/2015 03:00:00 AM,2,2
12/14/2020 09:00:00 AM,36,14
03/01/2015 10:00:00 PM,22,8
12/22/2018 09:00:00 PM,4,4
02/25/2015 03:00:00 AM,0,0
11/18/2019 08:00:00 PM,78,22
03/04/2017 08:00:00 PM,24,20
10/15/2012 10:00:00 AM,58,114
08/09/2015 11:00:00 AM,412,166
01/13/2020 11:00:00 PM,8,0
06/13/2018 08:00:00 PM,76,52
08/14/2018 04:00:00 PM,570,220
06/08/2014 12:00:00 PM,182,610
12/21/2020 07:00:00 PM,6,4
08/23/2018 01:00:00 AM,6,0
04/30/2015 01:00:00 AM,2,8
09/14/2017 03:00:00 AM,4,2
10/12/2019 06:00:00 AM,24,14
07/03/2017 03:00:00 PM,338,152
10/21/2012 04:00:00 AM,2,6
07/15/2020 12:00:00 AM,4,3
09/23/2014 01:00:00 AM,6,6
06/11/2019 09:00:00 AM,496,356
08/13/2017 07:00:00 PM,62,72
10/06/2015 08:00:00 AM,374,770
03/11/2015 03:00:00 PM,82,84
07/24/2013 04:00:00 PM,406,228
02/05/2013 11:00:00 AM,38,72
06/08/2014 06:00:00 AM,22,36
01/27/2014 05:00:00 AM,14,22
04/02/2014 05:00:00 PM,746,406
04/13/2019 11:00:00 PM,16,10
11/03/2016 06:00:00 AM,92,154
01/13/2014 04:00:00 PM,174,156
07/29/2015 12:00:00 PM,108,96
11/15/2020 09:00:00 PM,5,8
10/17/2019 05:00:00 PM,736,220
07/15/2018 06:00:00 AM,40,26
05/19/2016 10:00:00 PM,36,24
07/10/2013 12:00:00 AM,42,18
12/27/2013 05:00:00 PM,174,80
09/06/2013 09:00:00 AM,116,218
06/26/2013 09:00:00 PM,98,72
06/11/2013 11:00:00 AM,50,64
09/28/2019 01:00:00 PM,146,128
04/23/2016 11:00:00 AM,88,150
02/19/2016 06:00:00 AM,50,100
08/01/2017 07:00:00 PM,416,206
09/15/2019 08:00:00 AM,18,16
12/26/2018 01:00:00 PM,34,34
02/15/2014 04:00:00 PM,32,40
12/14/2018 05:00:00 AM,26,24
08/11/2013 02:00:00 PM,186,196
07/29/2013 06:00:00 PM,624,356
01/08/2019 11:00:00 PM,8,6
03/15/2014 10:00:00 AM,78,114
12/12/2014 08:00:00 AM,196,442
11/09/2015 11:00:00 PM,10,4
02/26/2016 09:00:00 AM,134,244
05/20/2018 06:00:00 PM,84,136
12/18/2015 10:00:00 AM,56,74
12/16/2020 03:00:00 AM,0,0
06/24/2015 09:00:00 PM,114,106
04/13/2018 01:00:00 AM,2,2
07/23/2020 09:00:00 PM,34,28
10/09/2018 05:00:00 AM,42,38
08/26/2015 04:00:00 PM,454,296
11/21/2017 05:00:00 AM,22,34
03/02/2015 10:00:00 PM,30,16
10/03/2012 10:00:00 AM,92,144
03/16/2017 08:00:00 PM,62,56
04/26/2014 09:00:00 AM,90,144
03/05/2018 05:00:00 PM,752,234
11/20/2020 11:00:00 PM,4,5
03/06/2018 09:00:00 PM,34,38
07/26/2020 08:00:00 PM,50,57
03/11/2018 09:00:00 AM,60,50
10/03/2017 04:00:00 PM,506,236
07/21/2016 12:00:00 PM,122,110
06/09/2019 02:00:00 AM,6,8
11/23/2013 10:00:00 AM,96,86
01/17/2017 05:00:00 AM,16,24
04/21/2019 09:00:00 PM,18,6
03/11/2015 02:00:00 AM,2,2
06/18/2015 06:00:00 PM,608,346
07/15/2013 02:00:00 AM,8,2
06/21/2018 04:00:00 PM,624,246
11/15/2020 05:00:00 AM,1,2
10/02/2019 07:00:00 PM,236,126
05/12/2018 10:00:00 PM,68,56
04/24/2018 07:00:00 PM,332,200
02/08/2021 01:00:00 AM,1,0
04/14/2015 08:00:00 PM,104,50
07/07/2018 07:00:00 AM,50,34
11/06/2017 09:00:00 PM,54,32
09/19/2017 10:00:00 PM,16,10
11/19/2017 08:00:00 AM,54,52
10/25/2015 06:00:00 PM,46,36
05/13/2019 11:00:00 PM,36,8
07/15/2015 10:00:00 AM,132,126
12/29/2019 05:00:00 AM,4,0
06/30/2018 10:00:00 PM,22,20
03/17/2013 08:00:00 AM,24,48
08/28/2018 12:00:00 PM,134,124
10/30/2018 01:00:00 PM,108,64
01/11/2020 03:00:00 PM,50,76
05/21/2014 01:00:00 PM,98,164
01/16/2014 08:00:00 AM,226,538
06/28/2019 05:00:00 PM,954,352
04/29/2016 03:00:00 PM,170,152
07/20/2013 06:00:00 PM,150,174
01/12/2015 04:00:00 PM,262,186
03/18/2013 04:00:00 PM,194,140
08/13/2016 11:00:00 PM,32,20
02/14/2018 11:00:00 PM,12,14
09/01/2020 01:00:00 AM,1,5
07/29/2013 12:00:00 AM,16,12
09/26/2020 09:00:00 AM,64,46
06/16/2013 09:00:00 AM,96,142
08/14/2016 11:00:00 PM,22,8
06/03/2017 09:00:00 PM,48,38
12/28/2017 02:00:00 PM,42,18
05/14/2013 07:00:00 AM,248,688
10/11/2015 02:00:00 AM,0,2
12/11/2017 05:00:00 PM,638,162
09/18/2013 12:00:00 AM,12,8
11/02/2018 12:00:00 PM,70,76
05/18/2016 11:00:00 AM,76,92
04/27/2018 07:00:00 PM,188,90
03/14/2016 08:00:00 AM,196,452
04/28/2014 06:00:00 AM,46,142
08/20/2018 04:00:00 PM,344,144
06/22/2016 01:00:00 PM,112,116
02/20/2020 12:00:00 AM,10,2
11/01/2018 08:00:00 PM,90,46
03/23/2015 03:00:00 AM,2,0
12/16/2014 06:00:00 AM,56,130
02/05/2020 02:00:00 PM,38,18
09/05/2015 12:00:00 AM,24,16
08/21/2017 06:00:00 PM,554,250
02/19/2016 04:00:00 PM,154,88
07/24/2020 02:00:00 AM,2,2
09/22/2016 06:00:00 PM,622,288
05/19/2019 01:00:00 AM,14,38
01/26/2017 02:00:00 PM,72,58
12/05/2017 12:00:00 PM,58,68
11/04/2016 12:00:00 PM,102,110
06/15/2017 08:00:00 PM,66,24
07/07/2015 02:00:00 PM,118,136
12/30/2020 03:00:00 PM,20,26
12/03/2018 10:00:00 AM,104,56
02/25/2018 10:00:00 AM,38,34
10/06/2012 08:00:00 PM,36,50
12/21/2016 06:00:00 PM,272,120
11/12/2013 10:00:00 PM,46,36
08/04/2013 11:00:00 PM,46,16
01/29/2017 06:00:00 PM,46,30
08/21/2020 08:00:00 AM,84,45
10/24/2016 11:00:00 PM,12,12
03/22/2018 11:00:00 PM,8,8
02/27/2020 11:00:00 AM,80,74
01/27/2020 04:00:00 AM,10,6
05/24/2020 11:00:00 PM,7,3
07/26/2020 01:00:00 AM,1,2
03/01/2019 10:00:00 AM,98,88
06/03/2013 07:00:00 PM,306,192
06/24/2013 04:00:00 AM,2,12
03/07/2016 05:00:00 AM,16,32
06/10/2015 03:00:00 AM,4,2
06/29/2014 08:00:00 AM,80,98
02/09/2019 10:00:00 AM,2,4
11/28/2014 06:00:00 AM,14,12
02/08/2014 01:00:00 PM,58,92
01/05/2016 09:00:00 AM,114,206
06/03/2014 05:00:00 PM,1006,396
09/15/2019 11:00:00 AM,26,36
02/06/2021 10:00:00 AM,41,33
10/11/2015 12:00:00 PM,120,116
09/04/2016 11:00:00 PM,34,16
05/17/2020 12:00:00 PM,183,145
02/23/2021 01:00:00 PM,52,45
10/25/2017 04:00:00 PM,420,148
10/08/2014 09:00:00 AM,56,438
05/21/2016 07:00:00 AM,12,32
05/20/2013 03:00:00 AM,6,4
12/05/2014 06:00:00 PM,306,114
07/09/2013 05:00:00 AM,20,62
05/08/2014 02:00:00 PM,58,42
12/15/2017 09:00:00 AM,152,156
01/03/2013 04:00:00 AM,2,10
05/29/2020 08:00:00 AM,96,87
11/24/2020 08:00:00 AM,62,31
02/07/2017 08:00:00 AM,178,260
11/27/2019 01:00:00 AM,4,4
07/16/2020 06:00:00 AM,47,53
04/15/2016 05:00:00 AM,20,48
11/26/2016 10:00:00 AM,10,18
04/06/2019 12:00:00 AM,6,12
07/03/2015 11:00:00 AM,144,208
12/10/2015 04:00:00 AM,2,8
10/19/2019 04:00:00 PM,88,128
11/07/2018 11:00:00 PM,24,6
02/12/2013 02:00:00 PM,56,52
12/18/2012 03:00:00 AM,4,2
06/15/2016 07:00:00 AM,294,554
12/10/2015 02:00:00 PM,50,20
07/29/2014 03:00:00 AM,4,0
02/10/2014 06:00:00 PM,224,106
12/04/2019 09:00:00 AM,332,216
09/30/2019 10:00:00 AM,196,110
11/08/2016 05:00:00 AM,42,56
05/21/2016 12:00:00 AM,18,14
07/03/2019 08:00:00 PM,138,88
06/02/2017 09:00:00 AM,268,282
06/10/2014 03:00:00 PM,174,154
02/09/2021 03:00:00 PM,66,70
12/03/2012 04:00:00 PM,166,112
